label,woonplaats,addressId,straatnaam,huisletter,huisnummer,huisnummer_toevoeging,geo
Prins Hendriklaan 90 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076682,Prins Hendriklaan,,90,,POINT (5.1498103658785 52.084603618114)
Palmstraat 12 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076710,Palmstraat,,12,,POINT (5.1348314932679 52.096555706455)
Nieuwe Koekoekstraat 100 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076731,Nieuwe Koekoekstraat,,100,,POINT (5.1210574223778 52.099910918775)
Pieter Nieuwlandstraat 10 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076745,Pieter Nieuwlandstraat,,10,,POINT (5.1240105012355 52.102679322123)
Oudegracht 337 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076767,Oudegracht,,337,,POINT (5.1224198365559 52.084682536155)
Van der Mondestraat 129 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076814,Van der Mondestraat,,129,,POINT (5.1194699865887 52.104584418665)
Obrechtstraat 64 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076847,Obrechtstraat,,64,,POINT (5.1298008008061 52.097590314515)
Oudekamp 19 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076898,Oudekamp,,19,,POINT (5.1262011942009 52.088815727477)
Predikherenstraat 28 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076931,Predikherenstraat,,28,,POINT (5.1183937359049 52.094738443441)
Raiffeisenlaan 1 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000076984,Raiffeisenlaan,,1,,POINT (5.1256125689095 52.105482536522)
Regentesselaan 17 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077041,Regentesselaan,,17,,POINT (5.1238792964571 52.106257421406)
Regentesselaan 19 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077042,Regentesselaan,,19,,POINT (5.1238900619152 52.106273462132)
Regentesselaan 22 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077044,Regentesselaan,,22,,POINT (5.1246568275982 52.10682483514)
Regentesselaan 32 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077051,Regentesselaan,,32,,POINT (5.1248043127187 52.107066357422)
Adriaen van Ostadelaan 66 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077072,Adriaen van Ostadelaan,,66,,POINT (5.1412090552335 52.081596437922)
Schoolstraat 7 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077081,Schoolstraat,,7,,POINT (5.1286299381473 52.090889942226)
Schoolstraat 12 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077086,Schoolstraat,,12,,POINT (5.1289500639491 52.091312094026)
Schoolstraat 14 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077088,Schoolstraat,,14,,POINT (5.1290133306917 52.091355626935)
Schoolstraat 19 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077094,Schoolstraat,,19,,POINT (5.1289705169062 52.091118248343)
Schoolstraat 23 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077100,Schoolstraat,,23,,POINT (5.1290588488621 52.091177493323)
Van Swindenstraat 76 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077114,Van Swindenstraat,,76,,POINT (5.1263555160552 52.102576280035)
Van Swindenstraat 85 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077120,Van Swindenstraat,,85,,POINT (5.1264073939985 52.102382567541)
Van Swindenstraat 96 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077128,Van Swindenstraat,,96,,POINT (5.1271575613857 52.102687363859)
Van Swindenstraat 104 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077133,Van Swindenstraat,,104,,POINT (5.1274659240082 52.102736965315)
Van Swindenstraat 130 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077150,Van Swindenstraat,,130,,POINT (5.1283271573167 52.102848486087)
Spinozaweg 4 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077269,Spinozaweg,,4,,POINT (5.0858798217319 52.094688025981)
Dr. J.P. Thijsselaan 40 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077279,Dr. J.P. Thijsselaan,,40,,POINT (5.1342480329102 52.110782365751)
Dr. J.P. Thijsselaan 47 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077286,Dr. J.P. Thijsselaan,,47,,POINT (5.1333894294797 52.110144600036)
Dr. J.P. Thijsselaan 59 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077297,Dr. J.P. Thijsselaan,,59,,POINT (5.133524324243 52.110395000223)
Nicolaas Sopingiusstraat 14 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077366,Nicolaas Sopingiusstraat,,14,,POINT (5.0887747885213 52.108526548292)
Albrecht Thaerlaan 20 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077412,Albrecht Thaerlaan,,20,,POINT (5.1310414558117 52.110893934795)
Albrecht Thaerlaan 23 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077414,Albrecht Thaerlaan,,23,,POINT (5.1303321671228 52.110735200571)
Spaarnestraat 41 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077460,Spaarnestraat,,41,,POINT (5.1119549729035 52.072694654804)
Sparstraat 12 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077487,Sparstraat,,12,,POINT (5.1004683877815 52.104288642968)
Franz Schubertstraat 11 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077562,Franz Schubertstraat,,11,,POINT (5.0882481655014 52.084931312461)
Franz Schubertstraat 15 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077566,Franz Schubertstraat,,15,,POINT (5.0881342384654 52.085042035343)
Franz Schubertstraat 18 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077568,Franz Schubertstraat,,18,,POINT (5.0876462373683 52.085129697537)
Franz Schubertstraat 29 Utrecht,Utrecht,https://data.kkg.kadaster.nl/id/nummeraanduiding/0344200000077572,Franz Schubertstraat,,29,,POINT (5.0878848439431 52.085349163423)
